,SGD Regressor,Lasso Regression,Lars Regression,Gaussian Regression
2015-01-31,7.2407296394621845,7.2407296394621845,7.2407296394621845,7.2407296394621845
2015-02-28,7.5466871322589,7.5466871322589,7.5466871322589,7.5466871322589
2015-03-31,7.610253815667423,7.610253815667423,7.610253815667423,7.610253815667423
2015-04-30,7.912801098306765,7.912801098306765,7.912801098306765,7.912801098306765
2015-05-31,8.092988562904036,8.092988562904036,8.092988562904036,8.092988562904036
2015-06-30,7.204527615978851,7.204527615978851,7.204527615978851,7.204527615978851
2015-07-31,6.814162931282652,6.814162931282652,6.814162931282652,6.814162931282652
2015-08-31,7.140509449465893,7.140509449465893,7.140509449465893,7.140509449465893
2015-09-30,7.946992697136301,7.946992697136301,7.946992697136301,7.946992697136301
2015-10-31,7.581430929661392,7.581430929661392,7.581430929661392,7.581430929661392
2015-11-30,8.102242585001207,8.102242585001207,8.102242585001207,8.102242585001207
2015-12-31,8.80833198772808,8.80833198772808,8.80833198772808,8.80833198772808
2016-01-31,9.578758235176688,9.578758235176688,9.578758235176688,9.578758235176688
2016-02-29,8.777354900095148,8.777354900095148,8.777354900095148,8.777354900095148
2016-03-31,7.4599380950515215,7.4599380950515215,7.4599380950515215,7.4599380950515215
2016-04-30,6.56540344654768,6.56540344654768,6.56540344654768,6.56540344654768
2016-05-31,6.582327007858901,6.582327007858901,6.582327007858901,6.582327007858901
2016-06-30,7.637470617702591,7.637470617702591,7.637470617702591,7.637470617702591
2016-07-31,8.793408793408775,8.793408793408775,8.793408793408775,8.793408793408775
2016-08-31,8.045095482782427,8.045095482782427,8.045095482782427,8.045095482782427
2016-09-30,7.2821253468131175,7.2821253468131175,7.2821253468131175,7.2821253468131175
2016-10-31,7.159431137724548,7.159431137724548,7.159431137724548,7.159431137724548
2016-11-30,7.000520484794404,7.000520484794404,7.000520484794404,7.000520484794404
2016-12-31,8.533056318171695,8.533056318171695,8.533056318171695,8.533056318171695
2017-01-31,9.218772773648155,9.218772773648155,9.218772773648155,9.218772773648155
2017-02-28,10.128289233909182,10.128289233909182,10.128289233909182,10.128289233909182
2017-03-31,11.29179275896015,11.29179275896015,11.29179275896015,11.29179275896015
2017-04-30,11.869618696186969,11.869618696186969,11.869618696186969,11.869618696186969
2017-05-31,11.722178260556815,11.722178260556815,11.722178260556815,11.722178260556815
2017-06-30,10.90108473848137,10.90108473848137,10.90108473848137,10.90108473848137
2017-07-31,9.788378512279717,9.788378512279717,9.788378512279717,9.788378512279717
2017-08-31,10.679301533219764,10.679301533219764,10.679301533219764,10.679301533219764
2017-09-30,11.198497892089133,11.198497892089133,11.198497892089133,11.198497892089133
2017-10-31,11.898857961093846,11.898857961093846,11.898857961093846,11.898857961093846
2017-11-30,12.98426044960217,12.98426044960217,12.98426044960217,12.98426044960217
2017-12-31,11.91973747179873,11.91973747179873,11.91973747179873,11.91973747179873
2018-01-31,10.345632881830923,10.345632881830923,10.345632881830923,10.345632881830923
2018-02-28,10.259125657742342,10.259125657742342,10.259125657742342,10.259125657742342
2018-03-31,10.23456951906696,10.23456951906696,10.23456951906696,10.23456951906696
2018-04-30,10.849529476441466,10.849529476441466,10.849529476441466,10.849529476441466
2018-05-31,12.1470654518528,12.1470654518528,12.1470654518528,12.1470654518528
2018-06-30,15.385112014978386,15.385112014978386,15.385112014978386,15.385112014978386
2018-07-31,15.849020113460544,15.849020113460544,15.849020113460544,15.849020113460544
2018-08-31,17.89642456309124,17.89642456309124,17.89642456309124,17.89642456309124
2018-09-30,24.518924429718346,24.518924429718346,24.518924429718346,24.518924429718346
2018-10-31,25.24032459425718,25.24032459425718,25.24032459425718,25.24032459425718
2018-11-30,21.618795743895692,21.618795743895692,21.618795743895692,21.618795743895692
2018-12-31,20.30176231636174,20.30176231636174,20.30176231636174,20.30176231636174
2019-01-31,20.35374149659863,20.35374149659863,20.35374149659863,20.35374149659863
2019-02-28,19.671639103160544,19.671639103160544,19.671639103160544,19.671639103160544
2019-03-31,19.712910128388007,19.712910128388007,19.712910128388007,19.712910128388007
2019-04-30,19.50230468522085,19.50230468522085,19.50230468522085,19.50230468522085
2019-05-31,18.71160360567261,18.71160360567261,18.71160360567261,18.71160360567261
2019-06-30,15.720120859444942,15.720120859444942,15.720120859444942,15.720120859444942
2019-07-31,16.646726579672233,16.646726579672233,16.646726579672233,16.646726579672233
2019-08-31,15.008431703204028,15.008431703204028,15.008431703204028,15.008431703204028
2019-09-30,9.262102138982709,9.262102138982709,9.262102138982709,9.262102138982709
